title,url,company,location,tags,easily_apply,description,page
AI Engineer,https://uk.indeed.com/viewjob?jk=91d6a9c95affd63b,Dojo.tech,Hybrid work in London,,No,"Implement orchestration for multi-model and multi-service workflows (e.g., LangGraph, CrewAI, Google Agent Development Kit, agentic frameworks).",1
Applied AI Engineer,https://uk.indeed.com/viewjob?jk=cc4a3df0ec12f47c,Durlston Partners,London,UK visa sponsorship,No,"£80,000 - £120,000 Base + Equity.;4+ years of experienceing ML in areas like scene understanding, multi-modal sensing, control/path planning, or vision-language…",1
Start-Up AI Engineer (Static Code),https://uk.indeed.com/viewjob?jk=1fe33607ec83b725,Linux Recruit,London,,No,"Software Engineering, Back-end Development, Front-end Development, Leadership.",1
AI Engineer,https://uk.indeed.com/viewjob?jk=bbe18712789efb38,Hive Learning,London,Annual leave;Gym membership;Company pension,No,"Mentorship from experiencedengineersand exposure to enterprise-scale challenges.;Our science-based analysis framework gives complete deal visibility, tracks…",1
Agentic AI Engineer,https://uk.indeed.com/viewjob?jk=84293815b1d1c1bf,Wunderman Thompson MAP,London,,No,"Agentic Design Lab – A product centric function responsible for uncovering and designing value-driven agenticAIopportunities that are feasible, viable, and…",1
AI Product Engineer,https://uk.indeed.com/viewjob?jk=30ec3b9e22cd2551,Log my Care,London WC1V 6NY,,No,"You’ll work directly with our CTO to explore the most promising use cases for large language models (LLMs) and other emergingAItechnologies, rapidly prototype…",1
AI Engineer,https://uk.indeed.com/viewjob?jk=983cfe95b68134e7,Durlston Partners,London,,No,"You will work closely with quant researchers, data scientists, and softwareengineersto leverageAIfor making data-driven investment decisions.",1
Senior AI Engineer,https://uk.indeed.com/viewjob?jk=33c15e8d07bcfbee,Just Eat Takeaway.com,London,,No,"Passion for developer experience and building tools thatengineerslove.;Collaborate with product managers, UX designers, and otherengineersto define…",1
Lead AI Engineer,https://uk.indeed.com/viewjob?jk=984dc8e84f9981dd,Islington Council,Islington,Employee discount;Company pension;Cycle to work scheme;Discounted gym membership,No,"Up to 31 days leave per year, increasing to 36 days after five years of local government service.;A range of flexible working arrangements to maintain a healthy…",1
Forward Deployed AI Engineer,https://uk.indeed.com/viewjob?jk=c6608d290acea88f,Adobe,London W1T 4BL,,No,Strong communicator: You translate complexAIconcepts for bothengineersand executives and guide customers through technical decisions aligned to business…,1
AI Engineer,https://uk.indeed.com/viewjob?jk=e38d069965b3ef58,Moneysupermarket Group,London,,No,"In this role, you’ll leverage cutting-edge technologies, from large language models to multi-agent orchestration framework, to create high-impactAIsolutions…",1
AI Integration Engineer,https://uk.indeed.com/viewjob?jk=2fc8edec13ed71c1,Moneysupermarket Group,London,,No,"In this role, you’ll leverage cutting-edge technologies, from large language models to multi-agent orchestration framework, to create high-impactAIsolutions…",1
